Product1,Product2
mushroom cream sauce,escalope
pasta,escalope
ground beef,herb & pepper
ground beef,tomato sauce
shrimp,pasta
cooking oil,ground beef
mushroom cream sauce,nan
pasta,nan
ground beef,spaghetti
milk,olive oil
shrimp,mineral water
tomatoes,spaghetti
grated cheese,ground beef
ground beef,mineral water
ground beef,nan
ground beef,spaghetti
ground beef,nan
shrimp,ground beef
shrimp,pasta
cooking oil,ground beef
ground beef,spaghetti
milk,nan
shrimp,nan
tomatoes,spaghetti
grated cheese,ground beef
ground beef,nan
ground beef,spaghetti
shrimp,ground beef
